# {'participant': 'clonesa_g2_001', 'age': '32', 'sex': 'F', 'session': 'N', 'EEG': 'Yes', 'Block number': '4', 'duration in min': '5', 'P.freq': '1: 40-80 s', 'date': '2022_mars_18_1418', 'expName': 'FT-RSGT', 'frameRate': 59.95348724186777}
condition,subj, age,sex,block_num,EEG,probe_freq,trial,time, stimulus, response
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,0,0.0004239082,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,0,0.7446699142,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,1,0.7502050400,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,1,1.3743169308,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,2,1.5002160072,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,2,2.1420588493,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,3,2.2502338886,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,3,2.9057259560,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,4,3.0002558231,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,4,3.6207318306,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,5,3.7502679825,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,5,4.3884589672,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,6,4.5003008842,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,6,5.0181739330,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,7,5.2503249645,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,7,5.6844599247,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,8,6.0003249645,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,8,6.4805879593,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,9,6.7503399849,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,9,7.3418109417,tap,l
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,10,7.5003588200,stimulus,
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,10,8.1055219173,tap,s
baseline_4,clonesa_g2_001,32,F,4,True,1_probe_min,11,8.2503800392,stimulus,
